"_id","name","purchase","cost","quantity","size","school","house","details","imgURL","category","connectingID"
"5ffaeefebae6c4239b98084a","Full Size Pant","2342","2642","3","100","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/19-dress-shirt-png-image.png https://freepngimg.com/thumb/dress%20shirt/12-dress-shirt-png-image.png https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b98084c","Full Size Pant","2342","2642","2","120","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b98084e","Full Size Pant","2342","2642","0","140","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b98084d","Full Size Pant","2342","2642","5","130","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b98084f","Full Size Pant","2342","2642","5","150","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b980850","Full Size Pant","2342","2642","6","26","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b980851","Full Size Pant","2342","2642","3","28","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b980852","Full Size Pant","2342","2642","4","30","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b980853","Full Size Pant","2342","2642","6","32","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","pant","2"
"5ffaeefebae6c4239b980854","Full Size Pant","2342","2642","2","S","All Schools","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/17-dress-shirt-png-image.png","shirt","5"
